Key,russian

campfireActivate,"Открыть костёр"
caffeineBuzz,"Кофеиновый пик"
caffeineBuzzDesc,"Кофеин дает вам энергию, поддерживает вашу выносливость и повышает температуру тела в течение ограниченного времени."
inpActActionLockStack,"Блокировка стека"
inpActInventorySlot9Name,"Слот 9"
inpActInventorySlot10Name,"Слот 10"
inpActInventorySlot11Name,"Слот 11"
inpActInventorySlot12Name,"Слот 12"
inpActVehicleToggleTopLightName,"Проблесковые маячки"
inpActVehicleToggleSirenName,"Сирена"
inpActLockSelectedSlotName,"Закрепить слот в инвентаре"
inpActGuiKeyboardSpaceName,"Активная горячая клавиша 5"
inpActDebugScreenshotName,"Скриншот для отладки"
infectionDesc,"Вы заражены. Используйте антибиотики, мед или травяные антибиотики, чтобы вылечить инфекцию. Если не лечить, вы станете слабее и в конечном итоге умрете."
lblContextActionCraft,"Изготовить"
lblContextActionDrink,"Использовать"
lblContextActionDrop,"Выбросить"
lblContextActionEat,"Использовать"
lblContextActionForge,"Переплавить"
lblContextActionPin,"Закрепить"
lblContextActionRead,"Изучить"
lblContextActionResearch,"Исследовать"
lblContextActionScrap,"Разобрать"
lblContextActionWear,"Надеть"
lblLevel,"Уровень: {0}"
lblAcceptQuest,"Принять задание"
lblCancelQuest,"Отменить задание"
lblRemoveQuest,"Удалить задание"
lblShareQuest,"Поделиться заданием"
megaCrushBuffName,"Энергетик"
megaCrushBuffDesc,"Повысьте свои рефлексы и увеличьте выносливость с помощью дополнительного прилива энергии!"
rangedWeaponStatsTip_title,"Статистика оружия дальнего боя"
statCargo,"Груз"
statCarryCapacity,"Грузоподъёмность"
statDamageUndead,"Урон по нежити"
statResistBleed,"Сопротивление кровотечению"
statResistCrit,"Сопротивление инфекции, усталости, растяжению, оглушению"
statResistInfection,"Сопротивление инфекции"
statHealthChangeOT,"Лечение в секунду"
statHealthMaxModifierOT,"Лечение"
statHyperthermalResist,"Теплоустойчивость"
statHypothermalResist,"Холодоустойчивость"
statNoiseIncrease,"Усиление шума"
statPhysicalDamageResist,"Показатель брони"
statPhysicalDamageResistLight,"Показатель лёгкой брони"
statPhysicalDamageResistHeavy,"Показатель тяжёлой брони"
statPlayerExpGain,"Прирост опыта"
statStaminaChangeOT,"Выносливость в секунду"
statStaminaDrainOT,"Выносливость"
statVehicleCargoCapacity,"Грузоподъёмность"
statVehicleCargoOverloaded,"Перегруз"
statVehicleLightIntensity,"Интенсивность света"
xuiActiveEffects,"Активные эффекты"
xuiAllies,"Союзники"
xuiBuyPrice,"₽"
xuiCreative,"Креатив"
xuiCharacter,"Персонаж"
xuiCrafting,"Ремесло"
xuiCurrentLife,"Текущая жизнь"
xuiCosmetics,"Визуальное"
xuiDeaths,"Смертей"
xuiFood,"Еда"
xuiFeelsLike,"Ощущается"
xuiGameStage,"Этап\nигры"
xuiInventory,"Инвентарь"
xuiItemsCrafted,"Сделано предметов"
xuiJournal,"Журнал"
xuiLongestLife,"Самая долгая жизнь"
xuiLevel,"Уровень"
xuiMap,"Карта"
xuiModifiers,"Моды"
xuiNoSellPrice," "
xuiObjectives,"Задачи"
xuiOptionsDynamicMesh,"Динамические сетки"
xuiOptionsVideoDistanceCustom,"Пользовательский"
xuiParty,"Группа"
xuiPing,"Пинг"
xuiPlayerKills,"Убито игроков"
xuiPlayers,"Игроки"
xuiPlayerShow,"Показать"
xuiPointsAvailable,,,,,
xuiPrefabEditor,"Редактор уровней/префабов"
xuiQuests,"Задания"
xuiRewards,"Награда"
xuiRewardsNotAvailable,"В данный момент награда не доступна."
xuiRwgCountyName,"Название создаваемого мира"
xuiRwgPreviewer,"Обозреватель случайной генерации"
xuiRwgWorldSeed,"Семя создаваемого мира"
xuiSellPrice,"₽"
xuiSharedWaypoints,"Общие метки"
xuiSign,"Надпись"
xuiSkillBuy,"Разблокировать"
xuiSkillNerfedEffect,"[FF6A00]Навык не соответствует одному или нескольким требованиям.[-]"
xuiSkills,"Навыки и умения"
xuiSkillList,"Навыки и умения"
xuiSteamID,"Steam ID"
xuiVehicleStorage,"Хранилище транспорта"
xuiVoice,"Голос"
xuiWater,"Вода"
xuiWaypoints,"Сохранено"
xuiWorldEditor,"Редактор мира"
xuiWPskills,"Навыки и умения"
xuiXPToNextLevel,"Опыта до след. уровня"
xuiZombieKills,"Убито зомби"
inpActSkillsName,"Навыки"
inpActSkillsDesc,"Открыть окно навыков"
uiLoadStartingGame,"Подождите...\nПоиск припасов"
uiLoadLoadingXml,"Подождите...\nПоиск выживших"
uiLoadCreatingWorld,"Подождите...\nБорьба с нежитью"
uiLoadCreatingPlayer,"Подождите...\nБорьба с рейдерами"
msgBuildingEnvironment,"Подождите...\nПоиск убежища"
msgGeneratingDistantTerrain,"Подождите...\nПоиск бинокля"
msgStartingGame,"Подождите...\nПлавка руды"
uiLoadWaitingForServer,"Подождите...\nПодготовка к орде"
waitingForServer,"Подождите ... \nОхота за едой"
questBlockActivate,"[73E9B2][{{0}}][-] Активировать {1}"
questRallyActivate,"[73E9B2][{{0}}][-] Начать задание\n[decea3]({1})[-]"
itemTooltipFocusedOne,"[73E9B2][{0}][-] Взять {1}"
itemTooltipFocusedSeveral,"[73E9B2][{0}][-] Взять {1} ({2})"
forgeActivate,"[73E9B2][{0}][-] Открыть кузницу"
useCampfire,"[73E9B2][{0}][-] Использовать"
useForge,"[73E9B2][{0}][-] Использовать"
useSecureDoor,"[73E9B2][{0}][-] Использовать"
useDoor,"[73E9B2][{0}][-] Использовать"
useOpen,"[73E9B2][{0}][-] Открыть"
useClose,"[73E9B2][{0}][-] Закрыть"
useWorkstation,"[73E9B2][{0}][-] Использовать"
lootAccess,"[73E9B2][{0}][-] Доступ {1}"
lootEntity,"[73E9B2][{0}][-] Поиск {1}"
lootTooltipEmpty,"[73E9B2][{0}][-] Открыть {1}\n[808080] (Пусто)[-]"
lootTooltipNew,"[73E9B2][{0}][-] Открыть {1}\n[73E9B2] (Нетронутый)[-]"
lootTooltipTouched,"[73E9B2][{0}][-] Открыть {1}"
lootVehicleEmpty,"[73E9B2][{0}][-] Открыть {1}{2}\n[808080](Пусто)[-]"
lootVehicleNew,"[73E9B2][{0}][-] Поиск {1}{2}\n[73E9B2](Нетронутый)[-]"
lootVehicleTouched,"[73E9B2][{0}][-] Открыть {1}{2}"
lootVehicleSecureJammed,"[73E9B2][{0}][-] Использовать {1}{2}\n[808080](заклинило)[-]"
lootVehicleSecureLocked,"[73E9B2][{0}][-] Использовать {1}{2}\n[808080](заблокировано)[-]"
lootVehicleSecureUnlocked,"[73E9B2][{0}][-] Использовать {1}{2}\n[808080](разблокировано)[-]"
tooltipJammed,"[73E9B2][{0}][-] Использовать {1}\n[808080] (заклинило)[-]"
tooltipLocked,"[73E9B2][{0}][-] Использовать {1}\n[808080] (заблокировано)[-]"
tooltipUnlocked,"[73E9B2][{0}][-] Использовать {1}\n[808080] (разблокировано)[-]"
useBlock,"[73E9B2][{0}][-] Использовать {1}"
editLabel,"[73E9B2][{0}][-] Редактировать"
useElevator,"[73E9B2][{0}][-] Использовать[808080] (Этаж {1})[-]"
lootItem,"[73E9B2][{0}][-] Взять {1}"
tooltipInteract,"[73E9B2][{0}][-] Использовать {1}"
vendingMachineActivate,"[73E9B2][{0}][-] Использовать {1}"
useSwitchLightOff,"[73E9B2][{0}][-] Выключить"
useSwitchLightOn,"[73E9B2][{0}][-] Включить"
npcTooltipTalk,"[73E9B2][{0}][-] Поговорить с {1}"
pickupCrops,"[73E9B2][{{0}}][-] Собрать {0} {1}"
pickupPrompt,"[73E9B2][{{0}}][-] Взять {0}"
xuiVendingWithOwner,"Торговый автомат\n[808080]({0})[-]"
xuiLockAmmo,"Включить"
xuiUnlockAmmo,"Выключить"
activeBlockPrompt,"{0}\n[73E9B2] (Активный)[-]"
inactiveBlockPrompt,"{0}\n[808080] (Неактивный)[-]"
blockcommand_aim,"Указать направление"
blockcommand_confirm,"Подтвердить размещение"
blockcommand_do_nothing,"Ничего не делать"
blockcommand_fuel_add,"Добавить в контейнер"
blockcommand_fuel_take,"Залить из контейнера"
blockcommand_repair,"Ремонтировать"
blockcommand_pick1,"Взломать\n[808080](Отмычка)[-]"
blockcommand_pick2,"Взломать\n[808080](Заколка)[-]"
uiNull,""
uiActionFillFrom,"[73E9B2][{0}][-] Заполнить с {1}"
